Account,Date,Issue
11324703,1/6/2010,"line problem.....no mer on frequencies, 555,693,717,....out of tap w/o# 44182050"
13642815,1/6/2010,Low Levels off tap. 17/3 on 23/4 value tap. Work Order #(44176942)
26818101,1/6/2010,Line Problem [44187316]
20130511,1/6/2010,"tap that is feeding several apts has 4 broken ports, tech having to split 2 cust for install node M07"
11719609,1/6/2010,low signal off tap Work Order: 44183080
53659901,1/6/2010,TVCLID Individual Customer
6471501,1/6/2010,"low level on 132, high level on 3, low transmit wo#44185187"
57689304,1/6/2010,line problem (WO# 44183825)
36647904,1/6/2010,line problem [wo #44183138] ////Next Level////
24172201,1/6/2010,dqi (wo# 44183943) no problem
21233112,1/6/2010,low levels/high tx
55970002,1/6/2010,line problem (WO#44185880)
5048601,1/6/2010,Low Levels/ 13/10 23 value 2 port tap. Work Order #(44183182)
236019,1/7/2010,line problem..[WO# 44186534]
23974009,1/7/2010,broken beast box and cut feeder
41709003,1/7/2010,tiling/uncorrectables
54819901,1/7/2010,**PRIORITY** cust has no phone service. 24 line vp cannot get reverse. tx 50 at tap....[HD20465832]
11864313,1/7/2010,line problem high levels [WO#
32860504,1/7/2010,broke tap housing
38649504,1/7/2010,unsecure ped. [WO# 44179764]
41297504,1/7/2010,LINE PROBLEM LOW LEVELS OFF TAP. HI END. DIG TILLING CUSTOMERS ON BOTH SIDE ARE HAVE SAME ISSUE.
18243401,1/7/2010,area issue cable out.....[WO# 44190241]
45859202,1/7/2010,rideout 01/07/10 wo#3186072
44375401,1/7/2010,rideout 01/07/10 wo#3186073
59469-01,1/7/2010,PIC change on GSAPRI_2W ISDN 301 OKC Switch to 0288.
60373501,1/7/2010,CBS Priority
61893501,1/7/2010,intermint slow speeds and packet loss...attached screen shot.
52996901,1/7/2010,lp (wo# 44189389)
36492606,1/7/2010,line problem [44192244]
28170401,1/7/2010,Line Problem [44185780]
56148701,1/7/2010,line problem high levels [WO# 44189093]
57473301,1/7/2010,gqi (wo# 44187930)
57616601,1/7/2010,line problem.....[wo# 44188649]
18167001,1/7/2010,carl manger
52127601,1/7/2010,line problem...NDT...on install
56763201,1/7/2010,line prob w/o44190789
34437105,1/7/2010,intmt no syc and slow speeds
30488904,1/7/2010,"line problem, level fluctating low band [WO# 44189739]"
33386203,1/7/2010,POSSIBLE FEED ISSUE-MONITOR
21064826,1/7/2010,unsecure lock box.....[wo# 44188127]
91705,1/7/2010,"WO# 44189171.... Tap needs replacing, low signal due to possible damage of tap.23value 8port tap with 6 out the 8 ports broken"
4426203,1/7/2010,Line Problem [44188775]
54487602,1/7/2010,cable replacement----Line problem; low mer; pre and post errors**ALL SERVICES OUT** waiting on cable replacement
13182601,1/7/2010,LINE PROBLEM BAD PORT ON TAP 44190904
9301802,1/8/2010,Area issue see log
39813201,1/8/2010,lp
18819912,1/8/2010,Noise
13468610,1/8/2010,install mta no sync/mainline bent at lockbox
36947905,1/8/2010,tiling all chans/see other notes for mroe info
41522701,1/8/2010,DQI measurement at the tap is at 7.2 then drops to 0.4 conisistently on channel 99 W/O 44190563
13555403,1/8/2010,Other
18564402,1/8/2010,Line Problem [wo# 44190469]
60267401,1/8/2010,**PRIORITY**cust is online but has bad MER and BER. see system logs. remedy HD0000020468533
10423211,1/8/2010,dig blk scr
40006101,1/8/2010,*bad port on tap*
32204905,1/8/2010,line prob w/o 44195337
14809303,1/8/2010,all services out--no levels--WO(944193539)
10793004,1/8/2010,S/N issue on all channels. Pre and post errors. Ex. 579.00 29 MER 132 cannot lock. Work Order #(44194439)
38503009,1/8/2010,Bad mer/error pre post 99 (W.O. # 44195256)
15356205,1/8/2010,Low level on 132
54597601,1/8/2010,CB noise issue
20904901,1/8/2010,Line Problem [wo# 44190242]
19094808,1/8/2010,LOW S/N AT THE TAP
38527701,1/8/2010,line problem
35520807,1/8/2010,Other
46623301,1/8/2010,line problem work order # ]
42230604,1/8/2010,Lp - see measurement box
10228004,1/8/2010,line problem (WO#44196677)
19948102,1/8/2010,Low S/N at the tap and also ran temp line from tap to tv analog working digi not working S/N 25 at the tap
16504701,1/8/2010,"w/o 44191497 .. Pre and post errors , low s/n , low transmit on all freq"
45128401,1/8/2010,44196712
55413001,1/8/2010,damaged ped lid p key broke inside key hole
10005514,1/8/2010,WO # (441902070) --------- low levels at tap 132\-20 03\-17
39498909,1/8/2010,Unsecure lock box
8453922,1/8/2010,low sig out of tap [wo# 44189502]
7361502,1/8/2010,line issue
35627902,1/8/2010,line problem--intermittent phone and freq 591 tiling--
4494701,1/8/2010,"line problem ""44194535"""
22323402,1/8/2010,Line problem; telephone
39992203,1/8/2010,mta no sync
7883401,1/8/2010,w/o 44191967 Freq 585 ..Ch 84.. 0 S/N on boxes.. 26 MER at the tap with many pre and post errors.
33002715,1/8/2010,customer has no hsi or phone service. tap has MER of 24db coming off of it
22767904,1/8/2010,"intermit tiling wo#44196724, drumm approved"
10878301,1/8/2010,Line Problem--WO#44192288--Low levels off of tap. Effecting phone.
11692204,1/8/2010,line problem
33299904,1/8/2010,DAILY DRIVEOUT 01/08/10 WO 3189311
34152203,1/8/2010,DAILY DRIVEOUT 01/08/10 WO 3189312 entered call and scheduled for 1/9/2010
41435902,1/8/2010,reverse tilt coming off the tap and low levels on the high end
45455606,1/8/2010,rideout 01/08/10 wo#3189275
43270503,1/8/2010,rideout 01/08/10 wo#3189276
60940301,1/8/2010,line problem w\o 44192654
35316501,1/8/2010,Low levels WO# 44195351
43953009,1/8/2010,rideout 01/08/10 wo#3189277
60262101,1/8/2010,wo 44189874 low levels cannot connect dsam as mdm at tap
9441405,1/8/2010,**dead tap**
36948102,1/8/2010,line problem [WO# 44193511]
3122208,1/8/2010,line problem ***NO SYNC**
8476514,1/8/2010,line problem
2492505,1/8/2010,line issue
15680401,1/8/2010,line problem [WO# 44194815]
1028501,1/9/2010,***PRIORITY***no dial tone. mta wont sync. signal levels 30/14 at 23x4.
7713401,1/8/2010,digi black 704/705
5732601,1/8/2010,WO# 44190536.. 8value 2port tap no AC off customer port but 2nd port has 92volts
2592016,1/8/2010,intermittent mta offline
44699619,1/8/2010,line problem [WO# 44194209)
11849903,1/8/2010,WO # (44196977) levels at tap 132\25------03\-5 **NOISE ***
36457801,1/8/2010,w/o #44196674 low levels on low end and 117mhz
55052001,1/8/2010,lp (wo# 44183143)
62317701,1/8/2010,low tx 22 off tap on 99
6948401,1/8/2010,**PRIORITY** CUST HAS STATIC ON PHONE AND INTERMIT DATA SOC VERIFIES NOISE REMEDY HD0000020470337
13557505,1/9/2010,getting pre and post errors off the tap on frequency 585
41441101,1/9/2010,Line Problem (WO# 44194877)
23249201,1/9/2010,pre and post errors off the tap on frequency 585 causin tiling and channels too come in and out
11376003,1/9/2010,44202148.........low levels on ch. 3 and won't lock on freq 693
40887003,1/9/2010,DEAD AT TAP TC W/o # 44202152
36580107,1/9/2010,bad mer on 73 (W.O. # 44196888)
7895602,1/9/2010,Line Problem (WO# 44199674) PRIORITY PRIORITY PRIORITY
60319601,1/9/2010,S/N - (WO#44194945)
18243607,1/9/2010,Low MER on freq 495-537. Levels low also
43071708,1/9/2010,low levels on high end at tap
50338302,1/9/2010,Check your email prior to running.
4347603,1/9/2010,line problem 44194870
32408507,1/9/2010,POSSIBLE FEED ISSUE-MONITOR
38503205,1/9/2010,line problem [wo #44202141]
12473408,1/9/2010,line problem (WO# 44196525)
61922602,1/9/2010,LP wo# [44195202]
22861108,1/9/2010,unable to unlock box...for install...
2110904,1/9/2010,LP wo# [44190874]
40614214,1/9/2010,ped/tap replacement
7961506,1/9/2010,line problem (WO# 44196520)
21466205,1/9/2010,ped/tap replacement unsecure
20163611,1/9/2010,lp(wo# 20163611)
47702704,1/9/2010,"multiple buildings without phone service when it rains,,,,, intermintent no d/t entire complex (mta's) w/o #44198679"
6272902,1/9/2010,"no tilt off tap, intermit dig tiling [wo #44195095]"
23424609,1/9/2010,pre and post errors off the tap on frequency 585... also failed DQI test on 585 had a low of 2.... Work Order: 44195152... appro
50703301,1/9/2010,Appears to be an Utilization issue I will check with data engineers tomorrow
14947903,1/9/2010,Line Problem--wo#44202064-Low MER at tap
62305503,1/9/2010,***two port tap with both ports broken per mitchell contractor**
40848802,1/9/2010,WO # (44196643) FREQ 117 mer 30 at tap also pre errors
9104109,1/9/2010,Line probelm. High transmit channel 99. Work order #44196518
45509804,1/9/2010,WO # 44195493
13359709,1/9/2010,line problem (44195489)
24276912,1/9/2010,LP WO# [441964541]
42819904,1/9/2010,"pre and post errors on 99, and low transmit, wo#44201304"
17772202,1/9/2010,NO AC tap is fried TC# 44201607
32295708,1/9/2010,noise file
34702804,1/9/2010,LP
28909401,1/9/2010,line problem
18412801,1/9/2010,line prob....
18413102,1/9/2010,High transmitt
4255401,1/9/2010,WO # 44202136. FEC error when running a docsis check at the tap. failed modem check. MER would not lock.
13006623,1/9/2010,unsecure lock box..will not lock..
60532402,1/10/2010,--priority-- cust has intermit dial tone and internet. mta and mdm offline. remedy # HD0000020471806
59236901,1/10/2010,LP-channel 99 low MER pre and post serrors intermitten lock.Service affecting no dial tone
54120103,1/10/2010,line problem
9729303,1/10/2010,"Line problem, WO:44202045"
50578909,1/10/2010,Unsecure lockbox repair can't lock
40688615,1/10/2010,Key broke into lock of lockbox
6046802,1/10/2010,line problem
15025802,1/10/2010,TVCLID Individual Customer
41236501,1/10/2010,line problem
20921204,1/10/2010,line problem
28128301,1/10/2010,Work Order: 44201548
43521904,1/10/2010,dig tiling on freq 579 with no errors on my metter
54057001,1/10/2010,LP-no Ac at tap...WO#44205693
60317701,1/10/2010,line Problem (44204881)
37792101,1/10/2010,tiling/ monitoring: happens at night.
3130302,1/10/2010,line problem - Work Order: 44204923
7215503,1/10/2010,line problem - Work Order: 44204916
42546404,1/10/2010,line problem Work Order: 44206026
18901603,1/10/2010,no signal at tap
62333301,1/11/2010,Low MER/Bad DQI on 99
41709003,1/11/2010,Line Problem wo#(44205200)
26109002,1/11/2010,Tap change
57040801,1/11/2010,"line issue, CBS PRIORITY, return noise affecting NIUs, confirmed by Soc,HD0000020473593"
26109002,1/11/2010,LINE PROBLEM CHAANGE TAP TO AN 8 PORT.
41358901,1/11/2010,TVCLID Individual Customer
25324101,1/11/2010,"LP (low high band, digi tiling)"
36912606,1/11/2010,line problem
59867102,1/11/2010,intermint dropped calls and inet. HD0000020474093 & HD0000020474104 pinged several custeomrs in node and was getting up to 22%
0,1/11/2010,DAILY DRIVEOUT 01/11/10 WO 3192236
4945911,1/11/2010,lp
33757803,1/11/2010,DAILY DRIVEOUT 01/11/10 WO 3192237
53634601,1/11/2010,DAILY DRIVEOUT 01/11/10 WO 3192239
0,1/11/2010,DAILY DRIVEOUT 01/11/10 WO 3192237
45557101,1/11/2010,rideout 01/11/10 wo#3192172
45359404,1/11/2010,rideout 01/11/10 wo#3192173
51174701,1/11/2010,HD0000020472978
20442405,1/11/2010,pre and post on ch 99 SNR 28
9942714,1/11/2010,area issue digital tilling M05
12533101,1/11/2010,getting intermittent digital tiling and black screen on all high def channels (pre and post errors off of tap) signal low also
4714601,1/11/2010,Conduit on riser above the ground is busted and cable is kinked located on the corner of 9th and Tulsa st.
14570804,1/11/2010,line problem[44205750]
15526005,1/11/2010,eMTA unable to connect: low levels at tap
15095004,1/11/2010,line problem[ 44206029]
21797603,1/11/2010,low s/n at tap on channel 99
10355301,1/11/2010,digital tiling intermittent all hd channels and phone issues getting pre errors but no post
11093602,1/11/2010,"monitoring Intermintent services, low levels, pre errors at tap [44206389]"
32166819,1/12/2010,LP-Pre and post errors on channel 99...low MER WO#44208160
9879702,1/12/2010,LINE PROBLEM MODEMS OFF LINE
51666401,1/12/2010,HD0000020473838
22455412,1/12/2010,44208364
8902808,1/12/2010,"14v 4pt tap, has 6 ppl on it/multiple splitters, need tap swapped to 8 port"
18402007,1/12/2010,line problem
51047801,1/12/2010,LP- Pre and post errors channel 99 WO#44206345
61389301,1/12/2010,CBS Priority Intermittant Noise on 21 MHz
9879905,1/12/2010,pre and post error ch99 and ch132
52231501,1/12/2010,CBS Priority
39324206,1/12/2010,lockbox unsecureable
32843210,1/12/2010,DAILY DRIVEOUT 01/12/10 WO 3196299
34260502,1/12/2010,DAILY DRIVEOUT 01/12/10 WO 3196300
19525109,1/12/2010,lockbox unsecureable
62362601,1/12/2010,bad levels coming off tap
61188501,1/12/2010,HD0000020475825
9820304,1/12/2010,Low levels altogether and low MER out of tap on 99
39723605,1/12/2010,LP / Water in tap
6772302,1/12/2010,line problem wo# 44211053 *****next level*****
46878713,1/12/2010,unsecureable beast box
8432601,1/12/2010,no voltage coming out of right side of tap -- multiple ticks are burning up on ports 2 and 4
32327309,1/12/2010,static on line power cycle on digi box
11286202,1/12/2010,"2 year old temp. line patched into mainline, and lashing wire is broken, and mainline is hanigng down about 4 feet"
23419905,1/12/2010,intermt tiling hd chs picking up ingress on return
34540810,1/12/2010,intermittent no synch
33912802,1/12/2010,LP pre and post errors channel 83 WO#44215307
58693101,1/12/2010,CBS Priority
23901212,1/12/2010,lp
2224405,1/12/2010,line Problem 44216239
15642615,1/12/2010,unsecured lockbox
48354001,1/12/2010,Modem won't sync
52886801,1/12/2010,low signal out of tap 12/10 out of 23 value tap 99 +1 [WO 44189520]
37060101,1/13/2010,intermittent niu connectivity/neighbor effected also pre and post 99 hole in main line
22417103,1/13/2010,High transmit (WO# 44212116)
32788103,1/13/2010,Dqi
10502707,1/13/2010,mdm intermittent sync/low signal
12115210,1/13/2010,unsecurable lockbox/no master lock
39819601,1/13/2010,Line Problem - low signal at the tap
60018901,1/13/2010,44217768 dead at tap
62385101,1/13/2010,**CBS INSTALL PRI LOW LEVELS**
43075914,1/13/2010,No sync
5155404,1/13/2010,Ped lock is broken per mitchell contractor..
53363501,1/13/2010,intermint inet. HD0000020479373 & HD0000020478390
45849704,1/13/2010,line problem [wo# 44211454]
45746601,1/13/2010,Tiling freq 585 FWD data carrier correctable/uncorrectable
62298301,1/13/2010,CBS Priority Noise in Node Packet Loss HD0000020479262
24008216,1/13/2010,Low MER Ch.99/117 MHz
37236309,1/13/2010,"Reverse Tilt off Tap, Dig tiling"
33414703,1/13/2010,DAILY DRIVEOUT 01/13/10 WO 3201140
0,1/13/2010,DAILY DRIVEOUT 01/13/10 WO 3201141
41276002,1/13/2010,Line Problem [44219931]
55696802,1/13/2010,line problem
12868804,1/13/2010,Monitoring INTRMIT TILING AND BLACK SCREEN
1060206,1/13/2010,lock box damaged
9246205,1/13/2010,line problem (WO# 44219562)
30980504,1/19/2010,Line Problem pre and post on channel 99 slow speeds on internet
23043406,1/13/2010,unsecurable lockbox per glacier
24433618,1/13/2010,unsecurable lockbox
25786003,1/13/2010,unsecurable lockbox
15680401,1/13/2010,"201, 202,203,204,205 ch.s"
29171202,1/13/2010,Other - dead tap - please call 682-557-1810 when completed
41442505,1/13/2010,wo # 44223616 .........pre and post errors on freq 645
8415008,1/13/2010,Line problem (WO# 44221532) ALL SERVICES OUT
21565004,1/13/2010,low levels coming off the tap on channel 3
12875701,1/13/2010,line problem tap levels too low
13695502,1/13/2010,pending cable replacement Low levels 7/9 17/2 port tap. Work Order #(44212726)
23669008,1/13/2010,intermittent connect and dial tone
35280608,1/13/2010,Line Problem
23740120,1/13/2010,int synch and phone
26670601,1/14/2010,LASHING WRE BROCKEN LOW HANGING MAIN LINE SOUTH WEST SIDE OF BUILDING GO TO OFFICE FOR ACCESS
12766912,1/14/2010,line problem [44214891]
41571903,1/14/2010,line problem low levels --132\24 03\0
54213901,1/14/2010,[ wo 44221350] 4 ports broken on face plate tampering.
61292101,1/14/2010,CBS Priority Dead Tap Mini Node
4858301,1/14/2010,"stastatic and cracking on phones, also fax will not send or receive. HD0000020481135 & HD0000020481116"
57777401,1/14/2010,CBS Priority
23193602,1/14/2010,Line Problem
57328602,1/14/2010,NOISE O04 see attachments
12809016,1/14/2010,Line Problem
56387802,1/14/2010,line problem wo# 44220394
33588105,1/14/2010,line problem (wo#44228059) **dead tap**
40711411,1/14/2010,Cut feeder feeding the apartment complex please route to marlen willison
33588202,1/14/2010,line problem (WO#44225466)
27139301,1/14/2010,HD0000020481360
23819411,1/14/2010,**NIGHTWORK complete**Line Problem
60262101,1/14/2010,Line down on ground.. no work order ... FNT found
34661005,1/14/2010,freq 693 is really low chan 200 - 205
39676902,1/14/2010,customer states temp line across street (NEWBERRY) has been there a very long time.
23668715,1/14/2010,line problem wo# 44223818
4476504,1/14/2010,**Per tech no two way off tap.. meter and tech's pc not working..***
7215503,1/14/2010,tw richard beryy said scheduled to change mainlin tonight
20552310,1/14/2010,"Line problem low levels comong off frequency 645, 693"
10810402,1/14/2010,manger carl
0,1/15/2010,Node G01 rideout 01/15/10 wo#3206977
61899201,1/14/2010,"Line problem. low levels, VYYO tap, No issues yet with services."
42598304,1/14/2010,Tiling and black screen..
11247604,1/15/2010,RETURN NOISE
7411110,1/15/2010,Noise - AR01
61577101,1/15/2010,"no dial tone, VP in alarm. no AC at tap. pool phone"
49839701,1/15/2010,low levels and high tx also intmt eod errors
6040501,1/15/2010,Line Problem (44227839)
29834101,1/15/2010,"line issue, CBS PRIORITY, all customers on this tap are off, no reverse from tap,HD0000020483576"
22498603,1/15/2010,line problem (wo#44205428)
39276018,1/15/2010,unsecure lock box...reported by contractor....lid is bent.
14949303,1/15/2010,packet loss......RAISED FLOOR UNDER DATA...SEE ATTACHED.
57724901,1/15/2010,line problem -- high ch 3
45980609,1/15/2010,wo # 44230171
32588301,1/15/2010,Line Problem
37646803,1/15/2010,line problem work order # [44224867] Give this job to tech 40609 he is on his way.
45980609,1/15/2010,wo # 44230171
55764803,1/15/2010,customer has intermittent no synch and phone goes in and out
54440902,1/15/2010,unsecureable ped in yard of 8109
25827101,1/15/2010,Line Problem - 855 mhz low at tap
10943604,1/15/2010,on demand has good signal but no signal noise and it unlocked on the frequency
53273303,1/15/2010,"High transmit at tap, eMTA and modem no sync. NODE C04"
55027202,1/15/2010,CBS Priority
46295001,1/15/2010,line problem [wo# 44231460]
56594703,1/15/2010,Line Problem
40711411,1/15/2010,line problem
33083804,1/15/2010,low on 132
87907,1/15/2010,"Line Problem - Bad Lvls @ Tap; Span down, Main Line Cracked"
51119401,1/15/2010,interment packet loss UPstream sn levels are low 17-20
12206826,1/16/2010,Line Problem (44232871)
17427804,1/16/2010,line problem/ next level digital tiling on hd channels
25670806,1/16/2010,High transmit and low band signal is low.
1477209,1/16/2010,Intermit no sync
57830701,1/16/2010,Lock Box won't secure - ped is completely crushed
54605,1/16/2010,LP w/o #44231129
29076802,1/16/2010,LP-
28946902,1/16/2010,"Line Problem - intermittent errors on 99, transmit low"
5862602,1/16/2010,low levels.need cutover. will do 1\18\10
54041401,1/16/2010,dqi
62333301,1/16/2010,High Tx. Repeat line issue. 47 Tx off tap. Work Order #(44240183)
15541803,1/16/2010,LP...
19391916,1/16/2010,Line Problem [44236241]
8992906,1/16/2010,line problem
32895508,1/16/2010,Per Mitchell Contractor EOD issue
60203702,1/17/2010,lock box is unsecurable and looks like every apt has hooked into it
40144310,1/17/2010,Lock Box Unsecure
11589407,1/17/2010,Really Heavy noise knocking all services out
27521301,1/17/2010,Low US S/N (WO# 44240809)
37358503,1/17/2010,lp
56969602,1/17/2010,next level wo #44240637. ongoing issue. checked other address with digital boxes and there's a lot of uncorrectable errors
34539602,1/17/2010,line problem [w.o.#44238627] no problem found
32397802,1/17/2010,Digital tiling (WO# 44239983)
7262802,1/17/2010,Noise
62317201,1/17/2010,"line problem, tap broken to mainline"
43175911,1/17/2010,LP unsecure lock box
28556505,1/17/2010,lock box unsecurable
12205728,1/17/2010,Lock Box unsecured
15194601,1/17/2010,line problem
8396115,1/17/2010,unsecured ped
20849502,1/17/2010,line problem intermittent garbled phone
2791615,1/18/2010,"no levels at the tap on 3 or 99, no phone service or internet"
12904915,1/18/2010,line problem --
7186905,1/18/2010,"Line Problem - Noise on Line, verified with Technical to Cover Customers issue"
5551803,1/18/2010,Return Noise with file CAUSING INTERMINTENT OUTAGE
16499002,1/18/2010,"low levels on chan 132, wrong tap/ map shows 8v4p has 4v2p, tap housing loose."
46293404,1/18/2010,low signal at tap
25152805,1/18/2010,low hanging drop on the mainline...
59774501,1/18/2010,dead at tap
33405804,1/18/2010,DAILY DRIVEOUT 01/18/10 WO 3210494
60001601,1/18/2010,on demand error
33377002,1/18/2010,Line Problem -EOD will not load Error 2213 on both boxes in house and on two new replacement boxes directly off of tap.
2077405,1/18/2010,Ped Issue -- ports 4 and 6 are broken
